yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
CCDC92	Q53HC0	CCD92_HUMAN	reviewed	Coiled-coil domain-containing protein 92 (Limkain beta-2)	CCDC92	80212;	Homo sapiens (Human)	331
GOLT1B	Q9Y3E0	GOT1B_HUMAN	reviewed	Vesicle transport protein GOT1B (Germ cell tumor 2) (Golgi transport 1 homolog B) (Putative NF-kappa-B-activating protein 470) (hGOT1a)	GOLT1B GCT2 GOT1A CGI-141 HDCMA39P UNQ432/PRO793	51026;	Homo sapiens (Human)	138
SCAND1	P57086	SCND1_HUMAN	reviewed	SCAN domain-containing protein 1	SCAND1 SDP1	51282;	Homo sapiens (Human)	179
NR1H2	P55055	NR1H2_HUMAN	reviewed	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)	NR1H2 LXRB NER UNR	7376;	Homo sapiens (Human)	460
TSKU	Q8WUA8	TSK_HUMAN	reviewed	Tsukushi (E2-induced gene 4 protein) (Leucine-rich repeat-containing protein 54)	TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788	25987;	Homo sapiens (Human)	353
ZDHHC6	Q9H6R6	ZDHC6_HUMAN	reviewed	Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376)	ZDHHC6 ZNF376	64429;	Homo sapiens (Human)	413
PLEKHJ1	Q9NW61	PKHJ1_HUMAN	reviewed	Pleckstrin homology domain-containing family J member 1 (PH domain-containing family J member 1) (Guanine nucleotide-releasing protein x)	PLEKHJ1 GNRPX	55111;	Homo sapiens (Human)	149
PRKAG2	Q9UGJ0	AAKG2_HUMAN	reviewed	5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)	PRKAG2	51422;	Homo sapiens (Human)	569
TIMM9	Q9Y5J7	TIM9_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim9	TIMM9 TIM9 TIM9A TIMM9A	26520;	Homo sapiens (Human)	89
SESN1	Q9Y6P5	SESN1_HUMAN	reviewed	Sestrin-1 (EC 1.11.1.-) (p53-regulated protein PA26)	SESN1 PA26 SEST1	27244;	Homo sapiens (Human)	492
GMNN	O75496	GEMI_HUMAN	reviewed	Geminin	GMNN	51053;	Homo sapiens (Human)	209
CRELD2	Q6UXH1	CREL2_HUMAN	reviewed	Protein disulfide isomerase CRELD2 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 2)	CRELD2 UNQ185/PRO211	79174;	Homo sapiens (Human)	353
NUDT9	Q9BW91	NUDT9_HUMAN	reviewed	ADP-ribose pyrophosphatase, mitochondrial (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase) (Nucleoside diphosphate-linked moiety X motif 9) (Nudix motif 9)	NUDT9 NUDT10 PSEC0099 UNQ3012/PRO9771	53343;	Homo sapiens (Human)	350
CDCA4	Q9BXL8	CDCA4_HUMAN	reviewed	Cell division cycle-associated protein 4 (Hematopoietic progenitor protein)	CDCA4 HEPP	55038;	Homo sapiens (Human)	241
NENF	Q9UMX5	NENF_HUMAN	reviewed	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	NENF CIR2 SPUF	29937;	Homo sapiens (Human)	172
CERK	Q8TCT0	CERK1_HUMAN	reviewed	Ceramide kinase (hCERK) (EC 2.7.1.138) (Acylsphingosine kinase) (Lipid kinase 4) (LK4)	CERK KIAA1646	64781;	Homo sapiens (Human)	537
DNAJC15	Q9Y5T4	DJC15_HUMAN	reviewed	DnaJ homolog subfamily C member 15 (Cell growth-inhibiting gene 22 protein) (Methylation-controlled J protein) (MCJ)	DNAJC15 DNAJD1 GIG22 HSD18	29103;	Homo sapiens (Human)	150
HEBP1	Q9NRV9	HEBP1_HUMAN	reviewed	Heme-binding protein 1 (p22HBP)	HEBP1 HBP	50865;	Homo sapiens (Human)	189
DNMT3A	Q9Y6K1	DNM3A_HUMAN	reviewed	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNMT3A	1788;	Homo sapiens (Human)	912
KCTD5	Q9NXV2	KCTD5_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD5	KCTD5	54442;	Homo sapiens (Human)	234
ERO1A	Q96HE7	ERO1A_HUMAN	reviewed	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic oxidoreductin-1-like protein) (Endoplasmic reticulum oxidoreductase alpha) (Oxidoreductin-1-L-alpha)	ERO1A ERO1L UNQ434/PRO865	30001;	Homo sapiens (Human)	468
CD320	Q9NPF0	CD320_HUMAN	reviewed	CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320)	CD320 8D6A UNQ198/PRO224	51293;	Homo sapiens (Human)	282
DHDDS	Q86SQ9	DHDDS_HUMAN	reviewed	Dehydrodolichyl diphosphate synthase complex subunit DHDDS (EC 2.5.1.87) (Cis-isoprenyltransferase) (CIT) (Cis-IPTase) (Cis-prenyltransferase subunit hCIT) (Epididymis tissue protein Li 189m)	DHDDS HDS	79947;	Homo sapiens (Human)	333
CHMP4A	Q9BY43	CHM4A_HUMAN	reviewed	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	CHMP4A C14orf123 SHAX2 CDA04 HSPC134	29082;	Homo sapiens (Human)	222
ABHD4	Q8TB40	ABHD4_HUMAN	reviewed	(Lyso)-N-acylphosphatidylethanolamine lipase (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 4) (Abhydrolase domain-containing protein 4) (Alpha/beta-hydrolase 4)	ABHD4	63874;	Homo sapiens (Human)	342
TCTN1	Q2MV58	TECT1_HUMAN	reviewed	Tectonic-1	TCTN1 TECT1 UNQ9369/PRO34160	79600;	Homo sapiens (Human)	587
HEATR1	Q9H583	HEAT1_HUMAN	reviewed	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	HEATR1 BAP28 UTP10	55127;	Homo sapiens (Human)	2144
CISD1	Q9NZ45	CISD1_HUMAN	reviewed	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	CISD1 C10orf70 ZCD1 MDS029	55847;	Homo sapiens (Human)	108
SUV39H1	O43463	SUV91_HUMAN	reviewed	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)	SUV39H1 KMT1A SUV39H	6839;	Homo sapiens (Human)	412
VPS28	Q9UK41	VPS28_HUMAN	reviewed	Vacuolar protein sorting-associated protein 28 homolog (H-Vps28) (ESCRT-I complex subunit VPS28)	VPS28	51160;	Homo sapiens (Human)	221
EXOSC4	Q9NPD3	EXOS4_HUMAN	reviewed	Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41) (p12A)	EXOSC4 RRP41 SKI6	54512;	Homo sapiens (Human)	245
NARFL	Q9H6Q4	CIAO3_HUMAN	reviewed	Cytosolic iron-sulfur assembly component 3 (Cytosolic Fe-S cluster assembly factor NARFL) (Iron-only hydrogenase-like protein 1) (IOP1) (Nuclear prelamin A recognition factor-like protein) (Protein related to Narf)	CIAO3 NARFL PRN	64428;	Homo sapiens (Human)	476
CHMP6	Q96FZ7	CHMP6_HUMAN	reviewed	Charged multivesicular body protein 6 (Chromatin-modifying protein 6) (Vacuolar protein sorting-associated protein 20) (Vps20) (hVps20)	CHMP6 VPS20	79643;	Homo sapiens (Human)	201
PACSIN3	Q9UKS6	PACN3_HUMAN	reviewed	Protein kinase C and casein kinase substrate in neurons protein 3 (SH3 domain-containing protein 6511)	PACSIN3	29763;	Homo sapiens (Human)	424
KIF20A	O95235	KI20A_HUMAN	reviewed	Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6)	KIF20A MKLP2 RAB6KIFL	10112;	Homo sapiens (Human)	890
HOOK2	Q96ED9	HOOK2_HUMAN	reviewed	Protein Hook homolog 2 (h-hook2) (hHK2)	HOOK2	29911;	Homo sapiens (Human)	719
TXNL4B	Q9NX01	TXN4B_HUMAN	reviewed	Thioredoxin-like protein 4B (Dim1-like protein)	TXNL4B DIM2 DLP	54957;	Homo sapiens (Human)	149
VAV3	Q9UKW4	VAV3_HUMAN	reviewed	Guanine nucleotide exchange factor VAV3 (VAV-3)	VAV3	10451;	Homo sapiens (Human)	847
SLC35F2	Q8IXU6	S35F2_HUMAN	reviewed	Solute carrier family 35 member F2	SLC35F2	54733;	Homo sapiens (Human)	374
DUSP22	Q9NRW4	DUS22_HUMAN	reviewed	Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x)	DUSP22 JSP1 LMWDSP2 MKPX	56940;	Homo sapiens (Human)	184
IGF2BP2	Q9Y6M1	IF2B2_HUMAN	reviewed	Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)	IGF2BP2 IMP2 VICKZ2	10644;	Homo sapiens (Human)	599
PPP2R3C	Q969Q6	P2R3C_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Protein phosphatase subunit G5PR) (Rhabdomyosarcoma antigen MU-RMS-40.6A/6C)	PPP2R3C C14orf10 G5PR	55012;	Homo sapiens (Human)	453
TNFRSF21	O75509	TNR21_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358)	TNFRSF21 DR6 UNQ437/PRO868	27242;	Homo sapiens (Human)	655
FAM57A	Q8TBR7	TLC3A_HUMAN	reviewed	TLC domain-containing protein 3A (Protein CT120) (Protein FAM57A)	TLCD3A FAM57A	79850;	Homo sapiens (Human)	257
NOTCH1	P46531	NOTC1_HUMAN	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	NOTCH1 TAN1	4851;	Homo sapiens (Human)	2555
ANO10	Q9NW15	ANO10_HUMAN	reviewed	Anoctamin-10 (Transmembrane protein 16K)	ANO10 TMEM16K	55129;	Homo sapiens (Human)	660
PNKP	Q96T60	PNKP_HUMAN	reviewed	Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]	PNKP	11284;	Homo sapiens (Human)	521
EDN1	P05305	EDN1_HUMAN	reviewed	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	EDN1	1906;	Homo sapiens (Human)	212
FASTKD5	Q7L8L6	FAKD5_HUMAN	reviewed	FAST kinase domain-containing protein 5, mitochondrial	FASTKD5 KIAA1792	60493;	Homo sapiens (Human)	764
METRN	Q9UJH8	METRN_HUMAN	reviewed	Meteorin	METRN C16orf23 RJD6	79006;	Homo sapiens (Human)	293
LAGE3	Q14657	LAGE3_HUMAN	reviewed	EKC/KEOPS complex subunit LAGE3 (L antigen family member 3) (Protein ESO-3) (Protein ITBA2)	LAGE3 DXS9879E ESO3 ITBA2	8270;	Homo sapiens (Human)	143
PXMP2	Q9NR77	PXMP2_HUMAN	reviewed	Peroxisomal membrane protein 2 (22 kDa peroxisomal membrane protein)	PXMP2 PMP22	5827;	Homo sapiens (Human)	195
AMDHD2	Q9Y303	NAGA_HUMAN	reviewed	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25) (Amidohydrolase domain-containing protein 2)	AMDHD2 CGI-14	51005;	Homo sapiens (Human)	409
PRR15L	Q9BU68	PR15L_HUMAN	reviewed	Proline-rich protein 15-like protein (Protein ATAD4)	PRR15L ATAD4	79170;	Homo sapiens (Human)	103
FSD1	Q9BTV5	FSD1_HUMAN	reviewed	Fibronectin type III and SPRY domain-containing protein 1 (MID1-related protein 1) (Microtubule-associated protein GLFND)	FSD1 GLFND MIR1 VLP27	79187;	Homo sapiens (Human)	496
TIMM22	Q9Y584	TIM22_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim22 (Testis-expressed protein 4)	TIMM22 TEX4 TIM22	29928;	Homo sapiens (Human)	194
FBXO11	Q86XK2	FBX11_HUMAN	reviewed	F-box only protein 11 (Protein arginine N-methyltransferase 9) (Vitiligo-associated protein 1) (VIT-1)	FBXO11 FBX11 PRMT9 VIT1 UG063H01	80204;	Homo sapiens (Human)	927
RBKS	Q9H477	RBSK_HUMAN	reviewed	Ribokinase (RK) (EC 2.7.1.15)	RBKS RBSK	64080;	Homo sapiens (Human)	322
CHAC1	Q9BUX1	CHAC1_HUMAN	reviewed	Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1)	CHAC1 BOTCH	79094;	Homo sapiens (Human)	222
MSRA	Q9UJ68	MSRA_HUMAN	reviewed	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)	MSRA	4482;	Homo sapiens (Human)	235
HERC6	Q8IVU3	HERC6_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase HERC6 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 6) (HECT-type E3 ubiquitin transferase HERC6)	HERC6	55008;	Homo sapiens (Human)	1022
MTERF3	Q96E29	MTEF3_HUMAN	reviewed	Transcription termination factor 3, mitochondrial (Mitochondrial transcription termination factor 3) (mTERF3) (mTERF domain-containing protein 1, mitochondrial)	MTERF3 MTERFD1 CGI-12	51001;	Homo sapiens (Human)	417
ADAT1	Q9BUB4	ADAT1_HUMAN	reviewed	tRNA-specific adenosine deaminase 1 (hADAT1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase)	ADAT1	23536;	Homo sapiens (Human)	502
FKBP14	Q9NWM8	FKB14_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)	FKBP14 FKBP22 UNQ322/PRO381	55033;	Homo sapiens (Human)	211
PAK6	Q9NQU5	PAK6_HUMAN	reviewed	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	PAK6 PAK5	106821730;56924;	Homo sapiens (Human)	681
PSMD10	O75832	PSD10_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10	5716;	Homo sapiens (Human)	226
CHIC2	Q9UKJ5	CHIC2_HUMAN	reviewed	Cysteine-rich hydrophobic domain-containing protein 2 (BrX-like translocated in leukemia)	CHIC2 BTL	26511;	Homo sapiens (Human)	165
LRRC16A	Q5VZK9	CARL1_HUMAN	reviewed	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	55604;	Homo sapiens (Human)	1371
TSEN2	Q8NCE0	SEN2_HUMAN	reviewed	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2)	TSEN2 SEN2	80746;	Homo sapiens (Human)	465
ZNF586	Q9NXT0	ZN586_HUMAN	reviewed	Zinc finger protein 586	ZNF586	54807;	Homo sapiens (Human)	402
PRR7	Q8TB68	PRR7_HUMAN	reviewed	Proline-rich protein 7 (Synaptic proline-rich membrane protein)	PRR7	80758;	Homo sapiens (Human)	274
GFOD1	Q9NXC2	GFOD1_HUMAN	reviewed	Glucose-fructose oxidoreductase domain-containing protein 1 (EC 1.-.-.-)	GFOD1 C6orf114	54438;	Homo sapiens (Human)	390
SPAG4	Q9NPE6	SPAG4_HUMAN	reviewed	Sperm-associated antigen 4 protein (Outer dense fiber-associated protein SPAG4) (SUN domain-containing protein 4)	SPAG4 SUN4	6676;	Homo sapiens (Human)	437
MCOLN1	Q9GZU1	MCLN1_HUMAN	reviewed	Mucolipin-1 (ML1) (MG-2) (Mucolipidin) (Transient receptor potential channel mucolipin 1) (TRPML1)	MCOLN1 ML4 TRPML1 MSTP080	57192;	Homo sapiens (Human)	580
ZNF589	Q86UQ0	ZN589_HUMAN	reviewed	Zinc finger protein 589 (Stem cell zinc finger protein 1)	ZNF589 SZF1	51385;	Homo sapiens (Human)	364
SLC2A6	Q9UGQ3	GTR6_HUMAN	reviewed	Solute carrier family 2, facilitated glucose transporter member 6 (Glucose transporter type 6) (GLUT-6)	SLC2A6 GLUT6	11182;	Homo sapiens (Human)	507
MCUR1	Q96AQ8	MCUR1_HUMAN	reviewed	Mitochondrial calcium uniporter regulator 1 (MCU regulator 1) (Coiled-coil domain-containing protein 90A, mitochondrial)	MCUR1 C6orf79 CCDC90A	63933;	Homo sapiens (Human)	359
FBXL12	Q9NXK8	FXL12_HUMAN	reviewed	F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12) (F-box protein FBL12)	FBXL12 FBL12	54850;	Homo sapiens (Human)	326
SNX11	Q9Y5W9	SNX11_HUMAN	reviewed	Sorting nexin-11	SNX11	29916;	Homo sapiens (Human)	270
FAIM	Q9NVQ4	FAIM1_HUMAN	reviewed	Fas apoptotic inhibitory molecule 1	FAIM FAIM1	55179;	Homo sapiens (Human)	179
GTPBP8	Q8N3Z3	GTPB8_HUMAN	reviewed	GTP-binding protein 8	GTPBP8	29083;	Homo sapiens (Human)	284
TLR4	O00206	TLR4_HUMAN	reviewed	Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284)	TLR4	7099;	Homo sapiens (Human)	839
DENND2D	Q9H6A0	DEN2D_HUMAN	reviewed	DENN domain-containing protein 2D	DENND2D	79961;	Homo sapiens (Human)	471
PECR	Q9BY49	PECR_HUMAN	reviewed	Peroxisomal trans-2-enoyl-CoA reductase (TERP) (EC 1.3.1.38) (2,4-dienoyl-CoA reductase-related protein) (DCR-RP) (HPDHase) (Short chain dehydrogenase/reductase family 29C member 1) (pVI-ARL)	PECR SDR29C1 PRO1004	55825;	Homo sapiens (Human)	303
ARID4B	Q4LE39	ARI4B_HUMAN	reviewed	AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Breast cancer-associated antigen BRCAA1) (Histone deacetylase complex subunit SAP180) (Retinoblastoma-binding protein 1-like 1)	ARID4B BRCAA1 RBBP1L1 RBP1L1 SAP180	51742;	Homo sapiens (Human)	1312
FRS2	Q8WU20	FRS2_HUMAN	reviewed	Fibroblast growth factor receptor substrate 2 (FGFR substrate 2) (FGFR-signaling adaptor SNT) (Suc1-associated neurotrophic factor target 1) (SNT-1)	FRS2	10818;	Homo sapiens (Human)	508
ITFG1	Q8TB96	TIP_HUMAN	reviewed	T-cell immunomodulatory protein (Protein TIP) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin)	ITFG1 LNKN-1 TIP CDA08	81533;	Homo sapiens (Human)	612
BNIP3L	O60238	BNI3L_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L)	BNIP3L BNIP3A BNIP3H NIX	665;	Homo sapiens (Human)	219
ARPP19	P56211	ARP19_HUMAN	reviewed	cAMP-regulated phosphoprotein 19 (ARPP-19)	ARPP19	10776;	Homo sapiens (Human)	112
ATG3	Q9NT62	ATG3_HUMAN	reviewed	Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like) (hApg3) (Protein PC3-96)	ATG3 APG3 APG3L	64422;	Homo sapiens (Human)	314
UTP14A	Q9BVJ6	UT14A_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	UTP14A SDCCAG16	10813;	Homo sapiens (Human)	771
WDR61	Q9GZS3	WDR61_HUMAN	reviewed	WD repeat-containing protein 61 (Meiotic recombination REC14 protein homolog) (SKI8 homolog) (Ski8) [Cleaved into: WD repeat-containing protein 61, N-terminally processed]	WDR61	80349;	Homo sapiens (Human)	305
EIF4EBP1	Q13541	4EBP1_HUMAN	reviewed	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	1978;	Homo sapiens (Human)	118
GRWD1	Q9BQ67	GRWD1_HUMAN	reviewed	Glutamate-rich WD repeat-containing protein 1	GRWD1 GRWD KIAA1942 WDR28	83743;	Homo sapiens (Human)	446
ABHD6	Q9BV23	ABHD6_HUMAN	reviewed	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)	ABHD6	57406;	Homo sapiens (Human)	337
SIRT3	Q9NTG7	SIR3_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	23410;	Homo sapiens (Human)	399
NOL3	O60936	NOL3_HUMAN	reviewed	Nucleolar protein 3 (Apoptosis repressor with CARD) (Muscle-enriched cytoplasmic protein) (Myp) (Nucleolar protein of 30 kDa) (Nop30)	NOL3 ARC NOP	8996;	Homo sapiens (Human)	208
STAP2	Q9UGK3	STAP2_HUMAN	reviewed	Signal-transducing adaptor protein 2 (STAP-2) (Breast tumor kinase substrate) (BRK substrate)	STAP2 BKS	55620;	Homo sapiens (Human)	403
ACOT9	Q9Y305	ACOT9_HUMAN	reviewed	Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)	ACOT9 CGI-16	23597;	Homo sapiens (Human)	439
CANT1	Q8WVQ1	CANT1_HUMAN	reviewed	Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107)	CANT1 SHAPY	124583;	Homo sapiens (Human)	401
YTHDF1	Q9BYJ9	YTHD1_HUMAN	reviewed	YTH domain-containing family protein 1 (DF1) (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	YTHDF1 C20orf21	54915;	Homo sapiens (Human)	559
HMGCS1	Q01581	HMCS1_HUMAN	reviewed	Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	HMGCS1 HMGCS	3157;	Homo sapiens (Human)	520
MICALL1	Q8N3F8	MILK1_HUMAN	reviewed	MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13)	MICALL1 KIAA1668 MIRAB13	85377;	Homo sapiens (Human)	863
FAM63A	Q8N5J2	MINY1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase MINDY-1 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-1) (Protein FAM63A)	MINDY1 FAM63A KIAA1390	55793;	Homo sapiens (Human)	469
ATF1	P18846	ATF1_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36)	ATF1	466;	Homo sapiens (Human)	271
P4HTM	Q9NXG6	P4HTM_HUMAN	reviewed	Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)	P4HTM PH4	54681;	Homo sapiens (Human)	502
SLC27A3	Q5K4L6	S27A3_HUMAN	reviewed	Solute carrier family 27 member 3 (EC 6.2.1.-) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain fatty acid transport protein 3) (FATP-3) (Fatty acid transport protein 3) (Very long-chain acyl-CoA synthetase homolog 3) (VLCS-3)	SLC27A3 ACSVL3 FATP3 PSEC0067 UNQ367/PRO703	11000;	Homo sapiens (Human)	683
TBXA2R	P21731	TA2R_HUMAN	reviewed	Thromboxane A2 receptor (TXA2-R) (Prostanoid TP receptor)	TBXA2R	6915;	Homo sapiens (Human)	343
RTN2	O75298	RTN2_HUMAN	reviewed	Reticulon-2 (Neuroendocrine-specific protein-like 1) (NSP-like protein 1) (Neuroendocrine-specific protein-like I) (NSP-like protein I) (NSPLI)	RTN2 NSPL1	6253;	Homo sapiens (Human)	545
TSTA3	Q13630	FCL_HUMAN	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	GFUS SDR4E1 TSTA3	7264;	Homo sapiens (Human)	321
PPARD	Q03181	PPARD_HUMAN	reviewed	Peroxisome proliferator-activated receptor delta (PPAR-delta) (NUCI) (Nuclear hormone receptor 1) (NUC1) (Nuclear receptor subfamily 1 group C member 2) (Peroxisome proliferator-activated receptor beta) (PPAR-beta)	PPARD NR1C2 PPARB	5467;	Homo sapiens (Human)	441
GNA11	P29992	GNA11_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha)	GNA11 GA11	2767;	Homo sapiens (Human)	359
WDTC1	Q8N5D0	WDTC1_HUMAN	reviewed	WD and tetratricopeptide repeats protein 1	WDTC1 KIAA1037	23038;	Homo sapiens (Human)	677
PLSCR3	Q9NRY6	PLS3_HUMAN	reviewed	Phospholipid scramblase 3 (PL scramblase 3) (Ca(2+)-dependent phospholipid scramblase 3)	PLSCR3	57048;	Homo sapiens (Human)	295
